Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,28,28.2,6.56,9,364,319,59,91,16,1,12,56,6,4,37,61,.285,.364,.455,.818,123,145,8,4,1,3,2,68
Atlanta Braves,26,28.7,7.29,7,287,262,51,81,26,1,10,49,2,1,24,60,.309,.369,.531,.900,142,139,4,1,0,0,0,54
Baltimore Orioles,27,27.6,5.62,8,301,270,45,61,16,2,9,45,4,0,22,58,.226,.283,.400,.683,103,108,0,2,1,6,1,45
Boston Red Sox,26,27.4,4.22,9,351,312,38,75,11,1,9,35,9,4,29,92,.240,.313,.369,.682,102,115,6,6,0,4,4,64
Chicago Cubs,27,28.5,6.25,8,316,267,50,72,11,3,9,44,2,1,42,58,.270,.370,.434,.805,118,116,8,3,0,4,3,60
Chicago White Sox,28,28.6,1.62,8,266,243,13,43,8,1,7,12,2,3,21,68,.177,.248,.305,.553,60,74,10,2,0,0,0,41
Cincinnati Reds,26,27.3,5.62,8,309,278,45,71,20,4,9,43,14,4,25,87,.255,.320,.453,.774,106,126,3,3,0,3,0,53
Cleveland Guardians,26,26.5,5.89,9,359,317,53,84,19,3,6,46,9,4,22,65,.265,.329,.401,.729,115,127,3,12,0,8,1,63
Colorado Rockies,26,28.4,4.44,9,334,302,40,73,15,2,10,37,3,0,23,79,.242,.308,.404,.712,95,122,9,7,0,2,0,53
Detroit Tigers,27,27.5,3.50,8,306,273,28,57,9,1,8,27,5,0,26,70,.209,.284,.337,.621,81,92,5,4,0,3,1,57
Houston Astros,28,29.2,3.78,9,338,307,34,82,14,0,13,31,3,3,28,58,.267,.332,.440,.772,126,135,7,2,0,0,0,67
Kansas City Royals,26,27.6,4.33,9,328,302,39,76,15,2,12,35,8,3,24,73,.252,.308,.434,.742,114,131,3,1,0,1,2,58
Los Angeles Angels,26,28.6,4.88,8,298,261,39,55,9,2,9,32,5,4,31,75,.211,.302,.364,.666,96,95,6,4,0,2,0,46
Los Angeles Dodgers,31,30.8,6.18,11,434,378,68,110,20,1,15,66,5,1,47,108,.291,.371,.468,.839,126,177,8,4,0,5,0,85
Miami Marlins,29,28.5,3.33,9,339,308,30,64,10,0,7,29,4,0,26,76,.208,.275,.308,.584,58,95,13,3,0,1,2,58
Milwaukee Brewers,27,26.7,4.14,7,267,233,29,59,9,0,9,28,13,2,28,63,.253,.335,.408,.742,104,95,5,2,0,3,1,54
Minnesota Twins,27,29.2,3.00,7,273,230,21,44,10,3,3,19,2,1,29,73,.191,.308,.300,.608,80,69,3,11,0,3,2,63
New York Mets,28,29.6,2.75,8,304,265,22,49,6,0,6,22,5,1,29,66,.185,.281,.275,.557,55,73,2,7,2,1,0,62
New York Yankees,28,28.5,4.56,9,349,301,41,73,11,0,10,35,3,1,40,77,.243,.331,.379,.710,107,114,13,2,0,4,0,64
Oakland Athletics,27,26.8,2.56,9,329,291,23,56,12,2,7,23,3,2,31,92,.192,.275,.320,.595,80,93,5,3,2,2,1,62
Philadelphia Phillies,28,29.4,4.25,8,300,264,34,62,6,1,9,32,10,5,34,71,.235,.323,.367,.691,89,97,5,1,0,1,1,54
Pittsburgh Pirates,28,28.1,6.22,9,404,344,56,93,21,1,9,55,4,0,49,98,.270,.362,.416,.777,114,143,2,3,3,5,3,95
San Diego Padres,28,27.8,5.27,11,411,369,58,95,21,1,12,54,7,1,35,75,.257,.327,.417,.744,108,154,11,4,1,2,2,65
Seattle Mariners,27,28.7,3.00,9,323,294,27,62,11,0,6,27,3,1,23,95,.211,.279,.310,.588,77,91,4,5,0,1,1,59
San Francisco Giants,28,29.9,4.33,9,336,297,39,67,13,0,10,39,0,2,30,76,.226,.301,.370,.672,84,110,4,4,1,4,0,56
St. Louis Cardinals,27,27.6,4.22,9,342,297,38,68,14,1,5,34,2,3,26,86,.229,.309,.333,.642,75,99,6,10,3,4,1,65
Tampa Bay Rays,26,27.9,4.56,9,337,299,41,74,12,0,9,40,14,2,28,85,.247,.324,.378,.702,109,113,7,7,1,2,0,62
Texas Rangers,27,27.7,6.50,8,332,292,52,88,18,3,10,50,5,0,35,63,.301,.378,.486,.864,147,142,2,2,1,2,2,72
Toronto Blue Jays,26,29.4,3.67,9,333,288,33,57,14,0,9,30,1,0,39,66,.198,.297,.340,.638,89,98,10,3,0,3,0,57
Washington Nationals,27,27.7,3.62,8,297,261,29,58,11,1,8,28,11,1,27,69,.222,.302,.364,.666,85,95,4,4,1,3,0,55
League Average,27,28.3,4.55,9,329,291,39,70,14,1,9,37,5,2,30,75,.241,.319,.388,.706,100,113,6,4,1,3,1,61
,816,28.3,4.55,258,9867,8724,1175,2100,408,37,267,1103,164,54,910,2243,.241,.319,.388,.706,100,3383,176,126,17,82,30,1817
