Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Pittsburgh Pirates,7,2,.778,W 1,6.2,4.3,1.9,,,6-3,1,6-1,0-0,0-0,1-1,1-1,6-1,3-0,2-0,2-2,5-0,1-1,6-1,7-2,7-2,7-2
2,New York Yankees,7,2,.778,W 1,4.6,4.0,0.6,,,5-4,2,1-1,0-0,4-0,2-1,1-1,6-1,1-0,4-0,6-1,1-1,0-0,7-2,7-2,7-2,7-2
3,Cleveland Guardians,7,2,.778,W 4,5.9,2.3,3.6,,,8-1,-1,0-0,2-0,5-2,0-0,0-0,7-2,0-0,0-2,5-2,2-0,0-0,7-2,7-2,7-2,7-2
4,Los Angeles Dodgers,8,3,.727,W 1,6.2,4.7,1.5,,,7-4,1,0-0,4-2,4-1,0-0,6-2,2-1,0-1,3-1,4-3,4-0,4-2,4-1,7-3,8-3,8-3
5,Texas Rangers,6,2,.750,W 3,6.5,3.4,3.1,,,6-2,0,2-1,0-0,2-0,2-1,4-1,2-1,1-0,1-0,5-1,1-1,2-1,4-1,6-2,6-2,6-2
6,Detroit Tigers,6,2,.750,L 1,3.5,2.6,0.9,,,5-3,1,0-0,3-0,1-1,2-1,1-1,5-1,3-0,4-1,3-2,3-0,0-0,6-2,6-2,6-2,6-2
7,Atlanta Braves,5,2,.714,W 2,7.3,4.0,3.3,,,5-2,0,2-1,0-0,2-0,1-1,2-0,3-2,1-0,2-2,4-0,1-2,2-1,3-1,5-2,5-2,5-2
8,Milwaukee Brewers,5,2,.714,L 1,4.1,3.9,0.3,,,4-3,1,3-0,0-0,0-0,2-2,2-2,3-0,0-0,3-0,4-2,1-0,0-0,5-2,5-2,5-2,5-2
9,Boston Red Sox,6,3,.667,L 1,4.2,2.4,1.8,,,7-2,-1,0-0,0-0,6-3,0-0,0-0,6-3,1-1,2-3,5-2,1-1,1-1,5-2,6-3,6-3,6-3
10,Los Angeles Angels,5,3,.625,W 1,4.9,5.1,-0.3,,,4-4,1,2-3,0-0,0-0,3-0,1-1,4-2,0-0,1-0,3-3,2-0,2-3,3-0,5-3,5-3,5-3
11,Cincinnati Reds,5,3,.625,W 1,5.6,4.5,1.1,,,5-3,0,5-3,0-0,0-0,0-0,3-2,2-1,1-0,1-2,4-1,1-2,2-1,3-2,5-3,5-3,5-3
12,Baltimore Orioles,5,3,.625,L 1,5.6,3.6,2.0,,,6-2,-1,0-0,2-1,2-1,1-1,4-2,1-1,0-1,1-1,3-1,2-2,5-3,0-0,5-3,5-3,5-3
13,Chicago Cubs,5,3,.625,L 1,6.3,5.1,1.1,,,5-3,0,0-0,0-0,4-1,1-2,4-1,1-2,0-1,1-1,4-2,1-1,2-3,3-0,5-3,5-3,5-3
14,Kansas City Royals,5,4,.556,W 3,4.3,2.4,1.9,,,7-2,-2,1-2,4-2,0-0,0-0,4-2,1-2,0-0,1-1,4-4,1-0,1-2,4-2,5-4,5-4,5-4
15,St. Louis Cardinals,5,4,.556,W 2,4.2,4.0,0.2,,,5-4,0,2-0,0-0,3-4,0-0,2-0,3-4,1-0,1-2,3-4,2-0,1-3,4-1,5-4,5-4,5-4
16,Philadelphia Phillies,4,4,.500,W 2,4.3,5.1,-0.9,,,3-5,1,3-2,1-2,0-0,0-0,2-4,2-0,0-1,1-0,2-2,2-2,2-4,2-0,4-4,4-4,4-4
17,San Diego Padres,5,6,.455,W 1,5.3,5.2,0.1,,,6-5,-1,0-0,1-2,4-4,0-0,3-5,2-1,0-0,1-1,4-5,1-1,2-3,3-3,5-5,5-6,5-6
18,Arizona Diamondbacks,4,5,.444,L 3,6.6,4.4,2.1,,,6-3,-2,0-2,0-0,3-1,1-2,4-3,0-2,0-2,0-3,2-2,2-3,1-4,3-1,4-5,4-5,4-5
19,Seattle Mariners,4,5,.444,W 1,3.0,4.4,-1.4,,,3-6,1,2-2,1-2,0-0,1-1,3-4,1-1,1-0,3-1,3-4,1-1,4-5,0-0,4-5,4-5,4-5
20,Toronto Blue Jays,4,5,.444,L 1,3.7,5.0,-1.3,,,3-6,1,3-3,0-0,1-2,0-0,0-0,4-5,0-0,1-1,3-5,1-0,1-1,3-4,4-5,4-5,4-5
21,Tampa Bay Rays,4,5,.444,W 1,4.6,5.7,-1.1,,,4-5,0,2-2,0-0,1-2,1-1,3-4,1-1,0-0,0-0,2-4,2-1,1-2,3-3,4-5,4-5,4-5
22,Minnesota Twins,3,4,.429,L 2,3.0,3.7,-0.7,,,3-4,0,0-0,2-3,0-0,1-1,0-2,3-2,0-0,0-1,2-4,1-0,3-4,0-0,3-4,3-4,3-4
